1865.375,0,-1.16,-0.58,-0.06
1865.458,-0.52,-0.17,-0.35,-0.55
1865.542,-0.01,-0.64,-0.32,-0.08
1865.625,-0.61,-0.76,-0.68,-0.64
1865.708,0.23,-0.53,-0.15,0.17
1865.792,-1,-0.74,-0.87,-0.99
1865.875,-0.26,-0.3,-0.28,-0.29
1865.958,-0.91,-0.84,-0.87,-0.89
1866.042,0.57,-0.74,-0.09,0.5
1866.125,-0.75,-0.75,-0.75,-0.74
1866.208,-1.42,-0.92,-1.17,-1.38
1866.292,-0.3,-0.72,-0.51,-0.34
1866.375,-1.5,-0.18,-0.84,-1.46
1866.458,-0.27,-0.73,-0.5,-0.31
1866.542,-0.35,-0.85,-0.6,-0.4
1866.625,-1.01,-0.64,-0.82,-1.01
1866.708,-0.41,-0.47,-0.44,-0.44
1866.792,-1.4,-0.63,-1.01,-1.34
1866.875,-1.05,-1.34,-1.19,-1.03
1866.958,-0.61,-0.94,-0.77,-0.63
1867.042,-1.24,-0.58,-0.91,-1.21
1867.125,0.69,-0.54,0.08,0.59
1867.208,-2.67,-0.92,-1.79,-2.55
1867.292,-0.74,-0.7,-0.72,-0.76
1867.375,-1.8,-0.44,-1.12,-1.73
1867.458,-0.68,-0.36,-0.52,-0.7
1867.542,-0.99,-0.48,-0.73,-0.98
1867.625,-0.48,-0.59,-0.54,-0.51
1867.708,-0.37,-0.47,-0.42,-0.4
1867.792,-0.63,-0.18,-0.4,-0.64
1867.875,-1.15,-0.56,-0.85,-1.13
1867.958,-1.43,-0.68,-1.05,-1.4
1868.042,-1.81,-1.42,-1.62,-1.74
1868.125,-1.08,-1.35,-1.22,-1.05
1868.208,-0.39,-0.6,-0.5,-0.42
1868.292,-1.01,-0.89,-0.95,-1.01
1868.375,-0.01,-0.29,-0.15,-0.06
1868.458,-0.13,-0.47,-0.3,-0.18
1868.542,0.32,-0.57,-0.13,0.24
1868.625,-0.17,-0.7,-0.44,-0.22
1868.708,-0.89,-0.53,-0.71,-0.88
1868.792,-0.8,-0.1,-0.45,-0.8
1868.875,-1.83,-0.41,-1.12,-1.75
1868.958,-0.3,-0.9,-0.6,-0.34
1869.042,-0.12,-0.49,-0.3,-0.16
1869.125,1.07,-0.87,0.1,0.96
1869.208,-1.88,-0.67,-1.27,-1.81
